,listing,price,brand,size
0,"M&M x Kate Spade M&M's Candy 3D Embellished Crossbody Bag Novelty Purse
          
      NWT",550.0,kate spade,OS
1,"Mominside Black Leather Baby Diaper Bag Backpack, 14 Pockets & Changing Pad",36.0,Mominside,OS
2,Louis Vuitton Monogram Speedy 35,665.0,Louis Vuitton,35
3,Paris Women's Voyage Tote Bag,241.0,,OS
4,Michael Michael Kors XS Messenger Leather Backpack NWT,123.0,MICHAEL Michael Kors,OS
5,"FASHION BAGS Black Beaded Evening Shoulder/Clutch Bag, Leather Trim",36.0,Top Mark,OS
6,Amazon- Elegant Black Quilted Chain Bag,18.0,Amazon,OS
7,"💰⬇️ GUCCI 
Pre-Loved Beige GG Canvas Flap Continental Wallet 💕",400.0,Gucci,OS
8,"2.25” COACH Leather Fob Bag Charm Keychain
Hang Tag",15.0,Coach,OS
9,HOBO Handbag Darling 100% Leather Black Shoulder Crossbody Bag AUTHENTIC NWT,161.0,HOBO,OS
10,Christian Dior wallet & key holder set,200.0,Dior,OS
11,Vera Bradley Bohemian Blooms pink floral quilted bag,34.0,Vera Bradley,OS
12,DOONEY & BOURKE Black Nylon/ Leather Trims Bag (Long Strap Is Not The Original),119.0,Dooney & Bourke,OS
13,Embellished clutch,15.0,,8”x 5.5”
14,Amika Orange Mesh Tote Bag Pink Logo Straps Zipper Closure Beach Gym Travel,27.0,amika,OS
15,heyday™ Teal Phone Crossbody Belt Bag Wallet Adjustable Strap,19.0,Target,OS
16,"Kate Spade Madison Small Satchel Crossbody In Black
          
      NWT",149.0,kate spade,"7.48""H X 9.68""W (Bottom) X 4.68""D"
17,"Lauren Ralph Lauren Snakeskin Animal Print Adair Crossbody Compact Wallet Luxury
          
      NWT",128.0,Lauren Ralph Lauren,OS
18,Free people tote bags,25.0,Free People,OS
19,Authentic Prada Black Leather Wallet,165.0,Prada,OS
20,TUMI Unisex Voyageur Double Zip Wallet in Black,45.0,Tumi,OS
21,By Anthropologie Quilted Puffer Bag Metallic Green Pillow Purse Flap Snap Front,35.0,Anthropologie,OS
22,"Luxurious Checkered Grid Cream and Blue Zipper Pouch Pochette with Gold Chain
          
      NWT",50.0,,OS
